k	mean_err	min_err	max_err	std_err
5	1761.0498109174594	1759.5377233807749	1765.2321377088058	1.6426767567780818
8	1727.6409571052227	1725.6213373738747	1731.572406802557	1.503796091379722
10	1710.246154835167	1708.9025718278967	1713.4724975907843	1.1191498303051053
12	1695.8257939249627	1694.6383094926186	1698.2205392704448	0.9606241229972876
15	1677.3245410569587	1674.8084965153478	1679.8578808935	1.196032063997765
18	1661.22834906048	1659.5410510138036	1663.0254056989027	1.011657208208124
20	1651.7550520031418	1649.769983967462	1653.4736163604184	0.9857842715546686
25	1630.2553060582472	1627.0840482286094	1633.8257251004466	1.7051219837282348
