k	n_seeds	median_ari	mean_ari	p25	p75	min_ari	max_ari
5	20	0.3840567913272209	0.41968828238511774	0.31751056806465605	0.5054024532365806	0.14072635206480658	0.8648172267364218
8	20	0.5092730090778108	0.5012966970262741	0.4402940071352007	0.5734298467320795	0.23187880250025217	0.7521616551714763
10	20	0.4923662634159266	0.4902729314585333	0.4358513489304353	0.5407263502658941	0.2674672782625027	0.7146942682934772
12	20	0.441882215035588	0.45505200148011377	0.3874310377576799	0.515463376329918	0.26730602434007344	0.7090885059731052
15	20	0.4611003481584711	0.4747424680963483	0.41335337338548456	0.532702538474628	0.30898475313570634	0.6933974611246915
18	20	0.4265195957536604	0.43659207696337193	0.387034659369086	0.4774647509844718	0.30820993483631537	0.6320752318573036
20	20	0.4461762702110731	0.45939153741084504	0.4102852156223217	0.49793214402061997	0.3324509348642696	0.6932612633912237
25	20	0.419784487688977	0.4251885046961948	0.38417512959413	0.4663554121514839	0.2979698673366598	0.6456150249471746
