tf	score	n_a	n_b	n_shared	expected	replication_raw	replication
ZBTB3	400	20	32	6	0.005835688884836327	0.24375	0.2997956912749229
NBN	400	434	475	321	1.8797300993890764	0.7077104050448701	0.7384987285461282
HIVEP1	400	600	542	341	2.9652594146074587	0.5987423124231243	0.6271112326049455
NR5A2	400	443	44	0	0.17773319959879638	0.0	-0.004055773755573255
HNF1A	400	275	705	195	1.767803410230692	0.49284332688588006	0.7072087367503326
HNRNPL	400	208	1033	190	1.959186650861676	0.5486959192791719	0.9126386675173
DUX4	400	400	4	0	0.014589222212090818	0.0	-0.0036606570879472865
KLF16	400	530	1022	266	4.938998814625696	0.381080382527785	0.4972012787009599
SIRT6	400	41	6	5	0.0022430929151089633	0.47764227642276424	0.8332710018942676
TBX3	400	274	24	22	0.059961703291693265	0.4984793187347932	0.9164579448364961
PBX3	400	1093	3237	1027	32.260791465305005	0.6284424064051265	0.9377792397330419
SALL4	400	66	0	0	0.0	0.0	0.0
LYL1	400	1166	1581	947	16.80902708124373	0.7055831849698879	0.8094311518617521
ZBTB7B	400	336	186	130	0.5698550196042673	0.5429147465437788	0.6979994811203944
IRF3	400	580	7972	467	42.160663809610654	0.43187622194923614	0.7899000828009367
RYBP	400	298	37	34	0.10053797756907085	0.5165064393252313	0.918698001662563
ZNF644	400	276	225	151	0.5662441871067748	0.6091062801932368	0.670281327637307
MEF2D	400	377	544	212	1.8700465031458011	0.4760200499297862	0.5601524259475492
TBXT	400	124	2	0	0.0022613294428740767	0.0	-0.0011319445712303507
ZKSCAN1	400	214	205	139	0.40001823652776514	0.6637907453840894	0.677419326086259
ZNF532	400	15	15	13	0.0020516093735752712	0.8666666666666667	0.8666484276442783
EPAS1	400	354	2391	283	7.717826205890399	0.45889777343002364	0.7949649003814595
CBX2	400	40	0	0	0.0	0.0	0.0
KAT2B	400	123	95	68	0.10654691346767575	0.6343175010697475	0.715470360474932
ZNF589	400	126	90	78	0.10340111242819368	0.7428571428571429	0.8665133036344604
MBD3	400	125	8062	54	9.188930427646577	0.21934904490200943	0.38693252499803166
HOXB7	400	6	6	5	0.0003282574997720434	0.8333333333333334	0.833324214570567
ZNF792	400	167	104	70	0.15836600711224583	0.5461192998618148	0.6725783417243925
CREB3	400	42	92	32	0.03523297164219932	0.5548654244306418	0.761704860812346
ZSCAN4	400	460	507	423	2.1265615026898876	0.8769423720092617	0.9191916436091382
MAF	400	146	641	102	0.8533418437129571	0.4288782510204518	0.6968583324004409
HMBOX1	400	449	26	18	0.10644661256496762	0.3661983895836902	0.6910427904467512
ZNF175	400	135	0	0	0.0	0.0	0.0
BANF1	400	81	39	28	0.02880459560499681	0.5318138651471984	0.7177402467166951
FUS	400	26	191	18	0.04528129844077688	0.3932742650020137	0.6917708840543356
HAND2	400	181	840	160	1.38634084070393	0.5372270455143383	0.8830823886207035
IRF5	400	339	233	223	0.7202243092915109	0.8074493271044603	0.9569484688442463
RB1	400	841	309	211	2.369554116896143	0.46686984596084946	0.6803970339026271
SSRP1	400	155	135	74	0.19079967174250023	0.5127837514934289	0.5475086281094591
ZNF768	400	595	6181	360	33.53419348955959	0.3316425097785433	0.5814526952931546
PDS5B	400	148	403	117	0.5438497310112155	0.5404315605928509	0.7897680093814333
NR5A1	400	136	699	3	0.8668186377313759	0.013175334511486999	0.015785770310179664
XRCC6	400	116	408	52	0.4315491930336464	0.2878634212305612	0.44621564490036286
NFRKB	400	277	532	194	1.3437038387890945	0.5325113324828317	0.6989004018560148
TAF15	400	55	100	47	0.05015045135406219	0.6622727272727272	0.854412704207356
SKIL	400	443	132	98	0.5331995987963891	0.4818216020247623	0.7413795734265948
HMGA2	400	11	56	8	0.005616850551654965	0.43506493506493504	0.7271333953692047
CREB5	400	69	68	51	0.04278289413695632	0.7445652173913043	0.7498426109250829
ZNF7	400	257	225	129	0.5272636090088447	0.537639429312581	0.5723311367631512
POLR3C	400	83	78	71	0.05903164037567247	0.882839048501699	0.9101884394391717
MYOG	400	101	0	0	0.0	0.0	0.0
ZSCAN30	400	23	89	15	0.01866508616759369	0.41035661944308743	0.6518914140542453
NR1D1	400	71	83	43	0.053733929059906996	0.5618530459867639	0.6053351141552334
MLLT3	400	21	73	3	0.013978298531959515	0.09197651663405088	0.14228622003469857
ELL2	400	549	662	381	3.313923588948664	0.6347588859722979	0.6921306823422595
MCM3	400	169	27	20	0.0416066380961065	0.4295419680035064	0.7403406090997985
PRMT1	400	79	34	18	0.02449165678854746	0.37862993298585257	0.5290725354754872
MAU2	400	225	587	136	1.2042947022886843	0.4180654930910468	0.602315871604395
NR4A1	400	360	58	45	0.19038934986778516	0.4504310344827586	0.7751238962898936
ZNF12	400	144	314	115	0.4122914197136865	0.5824265746638358	0.7980328519290716
GTF2I	400	545	613	413	3.0462751892039757	0.7157669455378122	0.7564367694934043
DNMT3B	400	166	69	17	0.10444059451080515	0.1743932250742099	0.2452343743382546
ERCC6	400	8	29	5	0.0021154372207531687	0.39870689655172414	0.6249008126522013
MBD1	400	20	77	15	0.014042126379137413	0.4724025974025974	0.7498243500953528
HMG20B	400	101	256	76	0.23576183094738762	0.5246751237623762	0.7518961046670408
ZNF354C	400	15	2	1	0.0002735479164767028	0.2833333333333333	0.49993160366604344
ZNF507	400	363	0	0	0.0	0.0	0.0
TAF7	400	184	1370	126	2.2985319595149085	0.38837670580768013	0.6807950941426795
CBX4	400	24	0	0	0.0	0.0	0.0
CDX2	400	93	49	32	0.04155192851281116	0.4985736229975861	0.6527667712183753
MYNN	400	127	294	115	0.34045773684690434	0.648334136804328	0.9052578290937741
PPP1R10	400	132	21	12	0.025275827482447343	0.33116883116883117	0.5709121166040225
ZNF362	400	321	762	243	2.230345582201149	0.5379534917948341	0.7553092055062165
ZNF324	400	51	13	0	0.006045408954135132	0.0	-0.00046524781287915414
PDX1	400	313	416	213	1.1872709036199507	0.5962652064389284	0.6792946834152803
RPA2	400	10	3	3	0.0002735479164767028	0.65	1.0
INO80	400	33	6	1	0.0018054162487462387	0.09848484848484848	0.1664158389351527
DLX6	400	225	87	53	0.1784900155010486	0.42237547892720306	0.6083919756052351
ZNF221	400	113	213	96	0.2194674933892587	0.6501308737380033	0.8492647656278487
CBX1	400	118	584	67	0.6283578006747516	0.3412613187833759	0.5654827772334501
ZNF660	400	156	11	8	0.0156469408224674	0.3892773892773893	0.7268842339792173
NKX2-5	400	175	13	13	0.020744050332816632	0.5371428571428571	1.0
ZNF512	400	72	83	58	0.05449074496215921	0.7521753681392236	0.8054082854515389
TOP2B	400	402	396	72	1.4515546639919759	0.18046132971506107	0.1788080682358971
PHOX2B	400	160	155	94	0.22613294428740768	0.5969758064516129	0.6058766175426606
SUPT6H	400	269	1383	148	3.392240357435944	0.32859980592806437	0.5444410202366332
E2F7	400	77	324	66	0.22748244734202608	0.5304232804232804	0.8567195612355014
ZNF800	400	122	338	97	0.3760007294611106	0.5410321078669125	0.7944484628860927
ZNF34	400	86	74	72	0.05802863134859123	0.9050911376492772	0.9729517625378334
CCNT1	400	61	59	42	0.03281663171332178	0.7001944984717977	0.7117040525096062
MEIS2	400	312	2759	67	7.849074496215921	0.11951387533573107	0.1944788608017836
SAFB2	400	55	3	0	0.0015045135406218655	0.0	-0.0005017561465127947
HBP1	400	98	168	70	0.15012309656241452	0.5654761904761905	0.7138473661276898
MLX	400	175	73	68	0.11648582109966263	0.6600391389432485	0.931397380377036
MEN1	400	69	3915	62	2.4631622139144707	0.45719362540951747	0.8947951205239894
ZNF778	400	18	13	13	0.002133673748518282	0.8611111111111112	1.0
HMG20A	400	180	2	2	0.003282574997720434	0.5055555555555555	1.0
GATAD2B	400	146	125	29	0.16640831585666088	0.21531506849315069	0.23097622438917498
ZNF549	400	45	0	0	0.0	0.0	0.0
BRF1	400	51	116	45	0.0539436491292058	0.6351419878296146	0.8822283719336905
FOXJ3	400	80	209	50	0.15245737211634905	0.4321172248803828	0.6242839915586372
ZNF264	400	74	102	53	0.06882465578553844	0.6179120296767355	0.7159520337364232
KLF6	400	191	296	20	0.515510166864229	0.08613980472619216	0.10228911472112069
MECP2	400	214	222	166	0.4331904805325066	0.7617243411635934	0.7752459752149614
ZBTB5	400	157	269	143	0.3850916385520197	0.7212132692444297	0.9106087654970259
THRB	400	23	321	1	0.06732014224491657	0.023296762833536502	0.0406703387279739
ZNF766	400	187	799	35	1.3623871614844534	0.11548526567300034	0.18120041689922287
ADNP	400	23	400	18	0.08388802771952221	0.413804347826087	0.781812900633055
ZNF133	400	23	12	12	0.002516640831585666	0.7608695652173914	1.0
NFKBIZ	400	4	59	3	0.002151910276283396	0.4004237288135593	0.7498654332138198
CIITA	400	78	0	0	0.0	0.0	0.0
ZKSCAN8	400	112	156	75	0.15931430655603174	0.5752060439560439	0.6691722715164924
PROX1	400	81	470	15	0.3471323060089359	0.10855003940110322	0.181678198344865
ZNF311	400	26	6	1	0.0014224491656788546	0.10256410256410256	0.16646905743436333
SIRT1	400	73	64	31	0.04260052885930519	0.45451626712328763	0.4840315542396233
LMNB1	400	25	42	14	0.0095741770766846	0.44666666666666666	0.559831429926661
CASZ1	400	12	182	7	0.019914288319503967	0.3108974358974359	0.5826407155730917
ZNF207	400	9	56	3	0.0045956049968086075	0.19345238095238093	0.3329927442358336
ZNF785	400	19	35	15	0.006063645481900247	0.6090225563909775	0.7894064755540514
LIG4	400	12	16	8	0.0017507066654508983	0.5833333333333333	0.6666180288300776
ZNF8	400	44	24	21	0.00962888665997994	0.6761363636363636	0.8749498294200281
ORC1	400	68	0	0	0.0	0.0	0.0
KDM6B	400	27	436	25	0.10734020242545819	0.4916326877336052	0.9256302643526402
KDM3B	400	27	1	1	0.00024619312482903255	0.5185185185185185	1.0
TBX5	400	103	74	51	0.06949940731284764	0.5921674101285752	0.6888970071132584
STAT6	400	17	3	3	0.00046503145801039483	0.5882352941176471	1.0
ZNF577	400	53	148	7	0.07152366189477523	0.08968638449770525	0.1309026221319194
ZNF239	400	41	0	0	0.0	0.0	0.0
MYRF	400	73	0	0	0.0	0.0	0.0
ZNF548	400	149	0	0	0.0	0.0	0.0
PSIP1	400	51	0	0	0.0	0.0	0.0
MSX2	400	35	74	23	0.02361630345582201	0.483976833976834	0.6569113575573666
ZNF510	400	34	4	0	0.0012400838880277196	0.0	-0.00031011711481630127
IRF8	400	6	589	3	0.03222394456095559	0.25254668930390495	0.4973001714322384
FOXN3	400	63	35	30	0.02010577186103766	0.6666666666666666	0.8570607455988865
BAP1	400	330	4529	277	13.627883650952858	0.4502776718387228	0.832475754780089
KAT7	400	17	1087	11	0.1684963982857664	0.32858920937280156	0.643525608764453
ASCL2	400	18	69	12	0.011324883742135498	0.42028985507246375	0.666456814566777
ZNF707	400	17	39	14	0.006045408954135132	0.5912518853695324	0.8234666343300281
ZFP1	400	10	50	7	0.004559131941278381	0.42	0.699863163656267
ATRX	400	116	146	64	0.1544269171149813	0.49504015115729805	0.5511265677558941
ZNF416	400	14	4	1	0.0005106227774231786	0.1607142857142857	0.24990424600569053
SETDB1	400	75	296	52	0.2024254581927601	0.4345045045045045	0.6925033981263067
NFATC3	400	31	636	26	0.17977569070848912	0.4397950902820045	0.8377688640477341
PHC1	400	39	34	28	0.012090817908270265	0.7707390648567118	0.8234666343300281
ZNF561	400	26	99	25	0.023470411233701104	0.607031857031857	0.9615037106252847
TEAD2	400	57	17	15	0.008835597702197502	0.5727554179566563	0.8822917633749968
FOXO3	400	2	4	2	7.294611106045409e-05	0.75	1.0
ZNF23	400	11	9	8	0.0009027081243731193	0.8080808080808081	0.8888777432262235
YBX1	400	8	12	6	0.0008753533327254491	0.625	0.7499726422148862
PRDM2	400	6	3	3	0.0001641287498860217	0.75	1.0
DEK	400	7	17	4	0.0010850734020242546	0.40336134453781514	0.5713621280637231
ZNF138	400	54	0	0	0.0	0.0	0.0
RBAK	400	34	31	22	0.009610650132214826	0.6783681214421253	0.709587385353763
ZSCAN18	400	11	5	4	0.0005015045135406219	0.5818181818181818	0.7999799378072024
PHF19	400	6	6	2	0.0003282574997720434	0.3333333333333333	0.3332968582822683
TSHZ1	400	28	0	0	0.0	0.0	0.0
DNMT1	400	38	15	13	0.0051974104130573535	0.6043859649122807	0.8666204514496983
ZNF114	400	15	14	3	0.00191483541533692	0.20714285714285713	0.21417823433235406
ZNF524	400	12	13	4	0.0014224491656788546	0.3205128205128205	0.33325429901115905
ZNF558	400	22	389	17	0.07803410230692076	0.40821453610656694	0.7719182657552548
ZNF101	400	24	60	4	0.013130299990881736	0.11666666666666667	0.1662105039077943
ZSCAN5A	400	24	7	5	0.001531868332269536	0.46130952380952384	0.7142231753617486
TOP2A	400	2	3	1	5.470958329534057e-05	0.41666666666666663	0.4999863222300236
VEZF1	400	30	8635	2	2.362086258776329	0.03344914109245319	-0.013101070586100525
FOXB1	400	2	2	2	3.6473055530227045e-05	1.0	1.0
ZBTB16	400	3	428	2	0.01170785082520288	0.33566978193146413	0.6653606976559687
ZNF512B	400	4	35	3	0.0012765569435579465	0.41785714285714287	0.749920189720436
RARB	400	7	6	4	0.000382967083067384	0.6190476190476191	0.6666453893595226
BPTF	400	2	285	0	0.0051974104130573535	0.0	-0.0026054760707592446
RAG1	400	1	3162	1	0.02883195039664448	0.5001581277672359	1.0
ZNF302	400	6	5	4	0.0002735479164767028	0.7333333333333334	0.7999890574846805
HOXA13	400	14	4	0	0.0005106227774231786	0.0	-0.0001276719924126359
CAMTA2	400	12	45	11	0.004923862496580651	0.5805555555555555	0.916632459141011
POU3F2	400	5	60	5	0.0027354791647670284	0.5416666666666666	1.0
ARID1B	400	9	3253	4	0.2669554116896143	0.22283703931413737	0.42746198654559164
ZNF624	400	8	7	6	0.0005106227774231786	0.8035714285714286	0.8571324355096309
GLI4	400	5	43	2	0.0019604267347497037	0.22325581395348837	0.39976465651709886
TOP1	400	12	12	9	0.0013130299990881736	0.75	0.7499726422148864
ZFP41	400	7	83	7	0.005297711315765478	0.5421686746987951	1.0
BRF2	400	8	4	3	0.00029178444424181636	0.5625	0.7499817621418541
SMC1B	400	3	1	0	2.7354791647670285e-05	0.0	-2.73555399527661e-05
PTBP1	400	5	69	5	0.0031458010394820827	0.5362318840579711	1.0
GLI1	400	10	10	10	0.0009118263882556761	1.0	1.0
SALL2	400	5	6	5	0.0002735479164767028	0.9166666666666667	1.0
PARP1	400	16	0	0	0.0	0.0	0.0
ZC3H8	400	9	43	7	0.0035287681225494665	0.4702842377260982	0.7776906135248515
HDAC4	400	17	44	15	0.006820461384152457	0.6116310160427807	0.8823057218070852
TAF2	400	7	27	5	0.0017233518738032278	0.44973544973544977	0.7142153560711973
HDGF	400	3	92	2	0.002516640831585666	0.3442028985507246	0.6663868051372842
SNAI1	400	1	33	0	0.00030090270812437313	0.0	-0.00030099327781679544
EN1	400	5	172	4	0.007841706938998815	0.41162790697674423	0.7996858390107582
ZNF140	400	11	10	1	0.0010030090270812437	0.09545454545454546	0.09990972013241048
HOMEZ	400	3	403	1	0.011023981034011124	0.16790736145574855	0.3308745244828417
AEBP2	400	10	5	3	0.00045591319412783806	0.44999999999999996	0.5999635236184571
GLI2	400	6	338	0	0.018491839153825112	0.0	-0.0030915011158672663
NSD2	400	4	0	0	0.0	0.0	0.0
LCORL	400	15	735	7	0.10052885930518829	0.2380952380952381	0.46306819051116105
MTF1	400	5	59	5	0.0026898878453542447	0.5423728813559322	1.0
OVOL2	400	3	1	0	2.7354791647670285e-05	0.0	-2.73555399527661e-05
PCBP2	400	11	12	4	0.0012036108324974925	0.3484848484848485	0.3635667256378924
ZBTB1	400	19	39	17	0.00675663353697456	0.6653171390013495	0.894699395916157
ZNF398	400	5	2489	1	0.1134767940184189	0.1002008838891121	0.1814220804060421
CDT1	400	8	14	1	0.0010212455548463573	0.09821428571428571	0.12488828700663894
MAPK1	400	3	18	0	0.0004923862496580651	0.0	-0.00016415569255462736
ARID3B	400	2	0	0	0.0	0.0	0.0
TFAM	400	3	3	2	8.206437494301085e-05	0.6666666666666666	0.6666575481533491
SIX1	400	15	190	7	0.02598705206528677	0.2517543859649123	0.46574107904031176
ZMYND11	400	1	0	0	0.0	0.0	0.0
ZNF530	400	7	21	4	0.0013403847907358438	0.38095238095238093	0.5713464913366417
WRN	400	2	0	0	0.0	0.0	0.0
CDC45	400	1	15	1	0.0001367739582383514	0.5333333333333333	1.0
QKI	400	1	1	0	9.118263882556761e-06	0.0	-9.118347026051117e-06
HNRNPA2B1	400	3	1	1	2.7354791647670285e-05	0.6666666666666666	1.0
SAMD1	400	6	2	0	0.00010941916659068114	0.0	-5.471257659760724e-05
ZBTB4	400	6	195	5	0.010668368742591411	0.4294871794871795	0.8330364619014996
SOX1	400	6	7	1	0.000382967083067384	0.15476190476190477	0.16661347339880664
KAT6A	400	5	6	4	0.0002735479164767028	0.7333333333333334	0.7999890574846805
MCM5	400	5	1	1	4.5591319412783804e-05	0.6	1.0
FOXP3	400	1	11	0	0.00010030090270812437	0.0	-0.00010031096398836391
NKRF	400	1	1640	1	0.014953952767393088	0.5003048780487804	1.0
DPF1	400	1	0	0	0.0	0.0	0.0
TFCP2	400	1	290	1	0.002644296525941461	0.5017241379310344	1.0
DDX11	400	1	0	0	0.0	0.0	0.0
ZNF354B	400	6	164	5	0.008972371660435853	0.4319105691056911	0.8330837275278675
ZHX1	400	2	34	2	0.0006200419440138598	0.5294117647058824	1.0
MRE11	400	6	2	1	0.00010941916659068114	0.3333333333333333	0.4999726437117012
HMGB2	400	2	218	0	0.003975563052794748	0.0	-0.0019917406717099733
ZFP30	400	3	12	2	0.0003282574997720434	0.41666666666666663	0.6666301896198483
TERF1	400	2	12	2	0.00021883833318136228	0.5833333333333334	1.0
TET3	400	3	1	0	2.7354791647670285e-05	0.0	-2.73555399527661e-05
SMC2	400	1	1	1	9.118263882556761e-06	1.0	1.0
ATR	400	2	12	2	0.00021883833318136228	0.5833333333333334	1.0
NR4A2	400	2	0	0	0.0	0.0	0.0
MKI67	400	1	0	0	0.0	0.0	0.0
ZNF410	400	1	3	1	2.7354791647670285e-05	0.6666666666666666	1.0
EP400	300	3364	7138	2726	218.9498677851737	0.5961222596883122	0.7971415484081
SAP30	300	6442	3965	3136	232.90352876812256	0.6388629474057582	0.7778728373207441
STAT1	300	13881	16839	10119	2131.32268624054	0.6649542413099727	0.679820994267263
ATF3	300	3687	9937	2640	334.0723898969636	0.49085151834916363	0.6877355786491837
BCL11B	300	10513	3687	2942	353.43695632351603	0.5388913531081967	0.7765154010171764
FOXA1	300	17259	20204	12771	3179.5462387161483	0.6860321565159655	0.6812376334981651
GATA6	300	1876	911	726	15.583441232789276	0.591960028928589	0.793392250580329
MNT	300	7498	8493	5989	580.6557308288502	0.7519576475152195	0.7818526964567557
EGR1	300	14092	19948	12469	2563.209774778882	0.7549517334339793	0.8592220026304737
ETV6	300	14380	15796	12855	2071.181544633902	0.8538817770805869	0.8761050863224676
GATA1	300	16140	11686	9416	1719.8143521473512	0.694572880925311	0.7722298098581875
NR1H2	300	448	750	414	3.063736664539072	0.7380535714285714	0.9235845607523215
POLR2C	300	14819	18314	14272	2474.6527400382965	0.871191228218118	0.9556882200021893
ZIC5	300	445	774	407	3.1406036290690253	0.7202232674273437	0.9139997919879023
HMGB1	300	4495	2544	2324	104.26990061092368	0.7152704612392525	0.9098260909864212
KLF11	300	6750	6689	5418	411.69645299534966	0.8063266058703344	0.7975245277717238
E2F5	300	1424	1810	1174	23.5017780614571	0.7365284933887889	0.821492097538007
BRD4	300	33853	33990	27891	10492.053159478435	0.8222252475782514	0.7447877416655733
GTF3C1	300	5998	6892	4679	376.93276192213	0.7294982202424991	0.7653470517013361
IKZF1	300	7867	8913	4284	639.3596334457919	0.51259972197665	0.5042642109615364
JUN	300	25068	21088	18738	4820.224163399289	0.8180245256423015	0.8555426369526953
FOXP1	300	12754	901	760	104.78119813987416	0.4515481813544339	0.8229129987001113
EBF1	300	8903	10560	6866	857.259779338014	0.7106950563991028	0.7468225490590846
MECOM	300	16407	12492	11233	1868.8451171696909	0.7919311475087336	0.8814853013171388
IKZF2	300	9835	1977	1340	177.29365368833774	0.4070213659421939	0.6460533679255648
BCOR	300	20447	22932	16460	4275.468259323425	0.7613911794231646	0.753455636489188
SMARCA5	300	843	75	68	0.5765022339746513	0.4936654804270462	0.9059436843185361
PAX5	300	11208	3744	3486	382.6274459742865	0.6210587904244221	0.9232456397339804
MGA	300	2146	5475	1520	107.13367374851828	0.4929600360871027	0.6929666295725624
KMT2A	300	19337	23971	16590	4226.563572535789	0.7750135031442285	0.8182051184830673
HDAC2	300	6977	3929	2376	249.9556214096836	0.4726407711364319	0.5778795143006521
RAD21	300	21746	21144	16657	4192.554244551838	0.7768842241273626	0.7353028134159066
TBX21	300	900	8335	839	68.40065651499954	0.5164410451243084	0.9266473687384528
PGR	300	9522	10193	6395	884.9981398741679	0.6494969757488496	0.6379530709103677
KDM2B	300	15653	13117	10190	1872.1655967903712	0.7139239417324146	0.7397027030327328
SMARCC2	300	2916	1502	1162	39.936463937266346	0.586063118402715	0.7674519666117906
RBPJ	300	9274	8845	7181	747.9577824382237	0.7930932018408717	0.7944928585908901
TCF7L2	300	7230	2802	2436	184.72198413422083	0.6031542377851031	0.8601600602682137
HIVEP1	300	1550	1301	848	18.387435032369837	0.5994515385187573	0.6468146247955769
CTCF	300	43297	39025	34101	15406.81521838242	0.8307155015615	0.7915165773521922
SUZ12	300	8663	11387	6841	899.4764384061275	0.6952265302183176	0.7653127493534729
EP300	300	22025	27996	15784	5622.430017324701	0.6402175047221761	0.6195108445449793
ZFX	300	14449	13407	11039	1766.3694994073128	0.7936866784577394	0.7965745927697445
SMAD3	300	7880	15953	7030	1146.2536701012127	0.6664007231267228	0.8737701186892236
RUNX1	300	22530	22411	18085	4603.9922494757	0.8048386463649091	0.7570619353567346
YY1	300	15443	16076	12636	2263.7154007476975	0.8021256104667758	0.7870142359503148
NPM1	300	12219	4303	3044	479.42333363727545	0.47826682754655114	0.6707271463716573
RAD51	300	1724	1648	1356	25.906373666453906	0.8046792287072286	0.8199857300099168
ZBTB26	300	13830	252	233	31.778608552931523	0.4707253038597941	0.913723186130323
E2F6	300	5572	10797	3746	548.5628157198869	0.5096191239477132	0.63650386517938
TBP	300	14033	10844	8687	1387.561338561138	0.7100644958373006	0.7719014443782373
ZNF24	300	637	780	480	4.530500592687153	0.6844583987441131	0.7517666857498667
ETS1	300	9249	12848	7901	1083.5338014042127	0.7346070203880545	0.8349145085883993
ZFY	300	10347	6115	5228	576.9299261420625	0.6801070396094444	0.8398359016461312
ATF7	300	5151	2131	1622	100.08918573903529	0.5380176574534921	0.749373534068643
MED1	300	15081	24216	12974	3330.0036108324975	0.6980246296690964	0.8206960558729889
MYCN	300	20348	19428	16194	3604.640685693444	0.8146956969727361	0.7956186208148603
ASCL1	300	17740	19023	13958	3077.1224582839427	0.7602764167105375	0.7420697274978826
GABPA	300	12150	9358	8688	1036.743867967539	0.8217326167087513	0.9194833100472835
ZBTB40	300	4196	5051	3678	193.25244825385246	0.802360866728483	0.8705888909296743
RREB1	300	1062	792	728	7.669408224674022	0.8023454887861667	0.9184017547305703
JUND	300	7187	8378	5512	549.0351600255311	0.7124269460425665	0.7476636227548258
NR3C1	300	12810	14720	9828	1719.369016139327	0.7174380791161796	0.7311244054247706
NR2F1	300	4190	1413	1295	53.984407768760825	0.6127794752781451	0.9131724457949251
CREBBP	300	8872	3764	2857	304.49720069298803	0.5405286449674147	0.7378235970262301
KMT2B	300	11034	11491	8631	1156.1201240083888	0.7666640805351177	0.7567291736518744
ZNF382	300	990	2	2	0.01805416248746239	0.501010101010101	1.0
STAT3	300	12287	8681	7978	972.5854563691073	0.7841613444200806	0.9088009608174412
NCOA2	300	287	317	252	0.8295705297711315	0.8365007309379088	0.8776952599023122
FOXO1	300	6183	2084	1333	117.49222212090818	0.4276132268435867	0.6181047395551291
HNF4A	300	5828	6084	3986	323.31131576547824	0.6695503400798792	0.6653761719031441
E2F1	300	18955	16378	13107	2830.719339837695	0.7458803426011159	0.758549329414955
TEAD4	300	4107	4908	2633	183.7982675298623	0.5887858138320703	0.6242864628141526
EHF	300	1017	14	14	0.12982584115984316	0.5068829891838741	1.0
RBBP5	300	4686	7946	4129	339.51815446339015	0.7003839080674622	0.871850379273531
MYOD1	300	6138	6811	5226	381.1973921765296	0.8093528050263123	0.8415787265728729
EBF3	300	2250	2472	1638	50.715783714780706	0.6953106796116505	0.7217276441724659
CHD2	300	6841	4878	4250	304.2800948299444	0.7462564575945423	0.8626938218734996
MYC	300	27362	28927	23185	7217.111096927145	0.8244216794465647	0.7926521203419072
NR2C2	300	6801	4027	3685	249.72761010303637	0.7284526695211674	0.9094584756675891
HDAC1	300	15100	19796	12266	2725.627792468314	0.715969003036268	0.7709782805567235
AHR	300	3048	1911	1436	53.11140694811708	0.6112838230386037	0.7443334321678914
HNRNPK	300	1874	1028	793	17.56608005835689	0.5972798981765632	0.767426651696756
MCM7	300	1617	1368	899	20.17011033099298	0.606565792186093	0.6520332398065645
NEUROD1	300	12473	6424	5141	730.6150451354063	0.6062252435372484	0.774650755188481
ETV1	300	2473	2816	1620	63.499297893681046	0.6151794494173437	0.6459847472738518
ELF1	300	12388	14492	10083	1636.973611744324	0.7548480089579447	0.785601865649036
NFE2L2	300	3377	580	301	17.859578736208626	0.3040489416233547	0.5036827286449914
MAX	300	28091	25425	21574	6512.388757180633	0.8082694468150585	0.7963792545324948
GABPB1	300	7417	13389	6412	905.5002553113887	0.6717005309627505	0.8456576765099665
MAZ	300	14411	10708	8608	1407.066545089815	0.7006032181814793	0.7742162106437436
FOXL2	300	3659	3479	2365	116.07240813349138	0.6630722530631412	0.668741009263984
MAFF	300	785	931	396	6.66394638460837	0.46490384286466846	0.500215879512346
NRF1	300	10969	11956	9428	1195.8180359259597	0.8240356098291053	0.8423236152089795
MCM2	300	809	2653	494	19.57032005106228	0.3984173524666201	0.6009777590065084
MITF	300	11416	12577	9345	1309.1915017780614	0.7808054625970733	0.795088627595512
TET1	300	9652	216	75	19.01004832679858	0.17749631624994244	0.28422745017008044
REL	300	3068	701	390	19.610358347770585	0.3417333591237699	0.5435797948940211
ZBTB7A	300	13933	10027	7846	1273.8779155648765	0.6728054020168655	0.7508317627743052
USF2	300	5240	3199	2915	152.84726907996716	0.7337599834394813	0.9067676426341816
SMAD4	300	5923	7550	4018	407.7564511716969	0.6052789384294919	0.6545936760300075
MED12	300	11940	16021	10928	1744.239445609556	0.798673809302008	0.9007430593724352
NONO	300	10150	6363	5803	588.898057809793	0.7418576685254732	0.9030152211362615
FOXA2	300	7506	9386	5252	642.3936901613932	0.6296318439246755	0.6716012110471701
SNAI2	300	7232	5304	4679	349.76318045044223	0.7645750118461272	0.8738453524196235
ZEB1	300	4480	4219	2302	172.34539983587126	0.5297331057630448	0.5262753584350273
SIN3A	300	8520	12623	6965	980.6506793106593	0.6846294202140143	0.7937487793896486
E2F4	300	7707	5960	5104	418.8357800674751	0.7593154658494892	0.8455198283204061
CDK9	300	18382	19532	15383	3273.7961520926415	0.812215312248515	0.8014985745366818
MYBL2	300	3335	2845	1618	86.51477158748975	0.5269372343705124	0.5551906577704857
ZNF384	300	7559	4533	2277	312.43682866782166	0.40177333413064964	0.46547417763494436
BHLHE40	300	8994	7611	5257	624.1755630527947	0.6376057957965933	0.6630801272818947
USF1	300	6171	7501	5378	422.07231695085255	0.7942333881221174	0.8620612323341308
ZBTB11	300	2869	5866	2680	153.45631439773868	0.6954967434074605	0.9304006777714264
KDM5A	300	8535	6289	5024	489.43753989240446	0.6937450880611603	0.7818800972140006
RXRA	300	8548	4512	3753	351.67845354244554	0.6354159925427374	0.8175621784219358
GATA3	300	7817	6710	4374	478.271815446339	0.6057062952901573	0.6251441123844023
