tf	pick	reason	rep_at_pick	n_assign_at_pick	n_assign_strict
GFI1	200.0		0.6812439363104051	2792.0	283.0
GFI1B	500.0		0.7773941555662014	511.0	511.0
GLI1		too few assignments			
GLI2		too few assignments			
GLI4		too few assignments			
GLYR1	500.0		0.721977163949055	112.0	112.0
GMEB1	400.0		0.9125573579370395	5660.0	4592.0
GRHL2	500.0		0.8955130238618609	1633.0	1633.0
GTF2B	500.0		0.8302532194155523	1990.0	1990.0
GTF2F1	50.0		0.7204818760739325	18968.0	1360.0
GTF2I	400.0		0.7564367694934043	545.0	410.0
GTF3C1	300.0		0.7653470517013361	5998.0	2027.0
GTF3C2	500.0		0.883218876225266	788.0	788.0
HAND1	400.0		0.8025104675703403	792.0	577.0
HAND2	500.0		0.9270521879539699	124.0	124.0
HBP1	250.0		0.7199464586497445	370.0	60.0
HDAC1	500.0		0.8261488759775716	7611.0	7611.0
HDAC2	200.0		0.6516348284623312	14478.0	1393.0
HDAC3	500.0		0.5713783220427306	590.0	590.0
HDAC4		too few assignments			
HDAC6	500.0		0.7416245003207018	132.0	132.0
HDGF		too few assignments			
HES1	400.0		0.8517179964825784	27.0	20.0
HES2	200.0		0.9284690271605067	157.0	44.0
HEY1	500.0		0.7675923252355851	9643.0	9643.0
HHEX	400.0		0.8146278480890169	2501.0	1387.0
HIC1	500.0		0.9323808915876068	253.0	253.0
HIC2	200.0		0.5915936270775575	1018.0	141.0
HIF1A	500.0		0.9139331788051955	2050.0	2050.0
HINFP	500.0		0.9444462133634757	430.0	430.0
HIVEP1	50.0		0.7099853015855015	10735.0	285.0
HMBOX1	200.0		0.8749772260960026	1252.0	307.0
HMG20A	400.0		1.0	180.0	101.0
HMG20B	500.0		0.771061167082867	70.0	70.0
HMGA1	50.0		0.8638979638058185	354.0	70.0
HMGA2		too few assignments			
HMGB1	400.0		0.9313224415151551	3528.0	2526.0
HMGB2		too few assignments			
HMGN2		too few assignments			
HMGXB4	200.0		0.8850473905207618	1705.0	113.0
HNF1A	50.0		0.8177288450999675	2083.0	219.0
HNF1B	100.0		0.713637856983065	15756.0	2734.0
HNF4A	50.0		0.7741296592042849	15282.0	3170.0
HNF4G	500.0		0.8845757440763228	799.0	799.0
HNRNPA2B1		too few assignments			
HNRNPK	150.0		0.7896604696567731	5567.0	578.0
HNRNPL	500.0		0.9412930232842688	120.0	120.0
HOMEZ		too few assignments			
HOXA13		too few assignments			
HOXA9		too few assignments			
HOXB13	100.0		0.7052808758414182	18199.0	1446.0
HOXB7		too few assignments			
HSF1	50.0		0.7675428020007089	20787.0	1705.0
HSF2	250.0		0.9378672713672761	328.0	157.0
IKZF1	100.0		0.5531091426087104	21077.0	4021.0
IKZF2	50.0		0.7594354443422865	20535.0	6010.0
INO80		too few assignments			
IRF1	50.0		0.7360245255637694	12281.0	3678.0
IRF2	200.0		0.8570295851405674	4750.0	657.0
IRF3	100.0		0.8420441332401257	2108.0	412.0
IRF4	50.0		0.7042439690579603	23514.0	1084.0
IRF5	500.0		0.9737573820075232	270.0	270.0
IRF8		too few assignments			
IRF9	400.0		0.8591216239030905	1118.0	529.0
ISL1	50.0	peak below floor	0.3525930348661485	5376.0	203.0
JARID2	250.0		0.6643352623702313	3775.0	1197.0
JMJD1C	50.0		0.7287646652231939	8479.0	678.0
JUN	400.0		0.8660252086885866	20932.0	17440.0
JUNB	400.0		0.6673027312935293	1520.0	1155.0
JUND	500.0		0.7790220641304811	3976.0	3976.0
KAT2B	500.0		0.7538963972724471	90.0	90.0
KAT6A		too few assignments			
KAT7		too few assignments			
KDM2A	500.0	peak below floor	0.0	4877.0	4877.0
KDM2B	500.0		0.7720760446622692	11308.0	11308.0
KDM3A	50.0		0.9370515826716209	4557.0	72.0
KDM3B		too few assignments			
KDM5A	300.0		0.7818800972140006	8535.0	4312.0
KDM5B	50.0		0.7623592623208952	38151.0	9717.0
KDM5C	500.0		0.8175579852692255	55.0	55.0
KDM6A	100.0		0.7795285376194171	20190.0	5409.0
KDM6B		too few assignments			
KHSRP	250.0		0.88135476868522	338.0	120.0
KLF1	150.0		0.6439713072159744	13137.0	3906.0
KLF10	50.0		0.6896921248835658	6179.0	902.0
KLF11	500.0		0.8218885741096108	4471.0	4471.0
KLF13	500.0		1.0	147.0	147.0
KLF16	50.0		0.6632501846316627	7768.0	301.0
KLF17	500.0		0.8211393052777931	664.0	664.0
KLF4	50.0		0.7275815339639771	26029.0	2031.0
KLF5	100.0		0.7602997698246993	17960.0	4433.0
KLF6	50.0	peak below floor	0.344544976976665	8505.0	107.0
KLF9	50.0		0.5077631206960819	7472.0	1569.0
KMT2A	500.0		0.8388317799721238	9946.0	9946.0
KMT2B	400.0		0.7600480239628966	8261.0	6190.0
KMT2C	50.0		0.8385923222594094	15806.0	1562.0
KMT2D	400.0		0.6459158355119065	3239.0	2304.0
LCOR	300.0		0.9392862449547296	1635.0	377.0
LCORL		too few assignments			
LDB1	50.0		0.6088202825019828	9029.0	556.0
LEF1	100.0		0.598179904720684	7424.0	290.0
LIG4		too few assignments			
LMNB1		too few assignments			
LYL1	500.0		0.8183617550951093	790.0	790.0
MAF	500.0		0.7345162176120594	87.0	87.0
MAF1	200.0		0.5541815550596145	338.0	44.0
MAFB	500.0		0.7928007720657755	3564.0	3564.0
MAFF	50.0		0.6612049427826654	1867.0	450.0
MAFG	400.0		0.8996376082142138	350.0	283.0
MAFK	500.0		0.824495251113866	1035.0	1035.0
MAPK1		too few assignments			
MAU2	300.0		0.6135373374243979	502.0	119.0
MAX	250.0		0.8015717891672718	31380.0	19043.0
MAZ	150.0		0.8034978650184285	24249.0	7398.0
MBD1		too few assignments			
MBD2	400.0		0.8400584022570039	623.0	400.0
MBD3	50.0		0.7098181211277468	8520.0	69.0
MBD5	100.0		0.8208784770484753	5851.0	367.0
MBD6	500.0	peak below floor	0.0	294.0	294.0
MCM2	300.0		0.6009777590065084	809.0	263.0
