k	n_seeds	n_subsample	cophenetic	dispersion
5	20	5000	0.8676782822741548	0.5114680528640747
8	20	5000	0.9028387705896905	0.655894935131073
10	20	5000	0.9002849750885707	0.7214160561561584
12	20	5000	0.9067370301288161	0.759612500667572
15	20	5000	0.9039228801335226	0.8048374652862549
18	20	5000	0.9151885500576327	0.83700031042099
20	20	5000	0.9136605250169537	0.8459572792053223
25	20	5000	0.8746594241554042	0.861163854598999
